,mod_ingredients
pineapple tidbit,0.00013715566969734315
xanthan gum,0.00013715566969734315
lean pork,0.00013715566969734315
prune,0.0001366587288651064
artificial sweetener,0.0001366587288651064
dark soy,0.0001366587288651064
vanilla wafer,0.00013616178803286966
spicy brown mustard,0.00013616178803286966
meat,0.0001356648472006329
chicken bouillon,0.0001356648472006329
desiccated coconut,0.00013516790636839616
lemon slouse,0.00013516790636839616
chuck roast,0.00013516790636839616
pimento stuffed olive,0.00013516790636839616
white fish fillet,0.00013417402470392264
serrano pepper,0.0001336770838716859
curry leaf,0.00013318014303944915
tea bag,0.00013318014303944915
cooked shrimp,0.00013318014303944915
cognac,0.00013318014303944915
picante,0.0001326832022072124
food coloring,0.0001326832022072124
sliced  olive,0.00013218626137497566
bicarbonate of soda,0.00013218626137497566
sugar snap pea,0.0001316893205427389
summer squash,0.0001316893205427389
raw shrimp,0.00013119237971050214
chili bean,0.0001306954388782654
barley,0.00013019849804602864
star anise,0.00013019849804602864
rigatoni pasta,0.00013019849804602864
watermelon,0.0001297015572137919
scallop,0.0001297015572137919
fennel,0.00012920461638155515
fettuccine pasta,0.00012920461638155515
beef brisket,0.00012920461638155515
phyllo dough,0.00012920461638155515
unsweetened chocolate square,0.0001287076755493184
pitted date,0.0001287076755493184
hash brown potato,0.0001287076755493184
bamboo shoot,0.00012821073471708166
meatball,0.00012771379388484488
hot italian sausage,0.00012771379388484488
stewing beef,0.00012771379388484488
jalapeno chile,0.00012771379388484488
chili paste,0.00012721685305260814
chicken drumstick,0.0001267199122203714
lemonade,0.0001267199122203714
reduced-fat sour cream,0.0001267199122203714
parsley sprig,0.00012622297138813464
small red potato,0.00012622297138813464
french-fried onion,0.00012622297138813464
yam,0.00012622297138813464
mussel,0.0001257260305558979
baked bean,0.00012522908972366115
herbe de provence,0.00012522908972366115
sake,0.00012522908972366115
pickled jalapeno pepper,0.0001247321488914244
crescent roll,0.0001247321488914244
light rum,0.00012423520805918763
lean  turkey,0.00012423520805918763
peppermint extract,0.00012423520805918763
clam,0.00012423520805918763
crisco,0.00012373826722695088
rubbed sage,0.00012373826722695088
raspberry jam,0.00012373826722695088
agave nectar,0.00012324132639471413
devil's food cake mix,0.0001227443855624774
honey mustard,0.0001217505038980039
graham cracker pie crust,0.00012125356306576713
unbaked pie shell,0.00012125356306576713
liquid honey,0.00012125356306576713
whiskey,0.00012075662223353039
flax seed meal,0.00012025968140129364
white potato,0.00011976274056905688
pitted black olive,0.00011926579973682013
lemonade concentrate,0.00011876885890458339
french baguette,0.00011876885890458339
acorn squash,0.00011827191807234664
strong coffee,0.00011777497724010988
nutritional yeast,0.00011727803640787313
cod fish fillet,0.00011678109557563639
pie shell,0.00011628415474339963
carbonated lemon-lime beverage,0.00011578721391116288
adobo,0.00011578721391116288
prepared yellow mustard,0.00011578721391116288
chocolate cake mix,0.00011578721391116288
napa cabbage,0.00011578721391116288
pretzel,0.00011529027307892613
salami,0.00011529027307892613
cooking apple,0.00011529027307892613
potato chip,0.00011529027307892613
potato starch,0.00011529027307892613
ginger powder,0.00011529027307892613
corned beef,0.00011529027307892613
italian salad dressing mix,0.00011529027307892613
marshmallow creme,0.00011529027307892613
coconut cream,0.00011479333224668939
reduced-sodium fat-free chicken broth,0.00011479333224668939
"lemons, zest of",0.00011479333224668939
ziti pasta,0.00011479333224668939
gelatin,0.00011479333224668939
walnut piece,0.00011429639141445263
stock,0.00011429639141445263
marshmallow cream,0.00011429639141445263
pimento,0.00011379945058221588
grain mustard,0.00011280556891774237
chicken breast fillet,0.00011280556891774237
bread machine yeast,0.00011280556891774237
port wine,0.00011280556891774237
champagne,0.00011230862808550563
smoked ham,0.00011230862808550563
thyme sprig,0.00011230862808550563
coconut extract,0.00011230862808550563
poblano chile,0.00011230862808550563
chipotle chile,0.00011181168725326888
cut green bean,0.00011181168725326888
ramen noodle,0.00011131474642103213
rose water,0.00011081780558879537
ice cream,0.00011032086475655862
salad dressing,0.00010982392392432188
lima bean,0.00010982392392432188
baileys irish cream,0.00010982392392432188
purple onion,0.00010982392392432188
instant minced onion,0.00010982392392432188
imitation crabmeat,0.00010982392392432188
mango chutney,0.00010932698309208512
brown onion,0.00010883004225984837
poblano pepper,0.00010833310142761162
salad green,0.00010833310142761162
miniature semisweet chocolate chip,0.00010783616059537488
chow mein noodle,0.00010783616059537488
semi-sweet chocolate baking square,0.00010733921976313812
gin,0.00010733921976313812
pecan piece,0.00010733921976313812
raw sugar,0.00010733921976313812
walnut half,0.00010733921976313812
roasted peanut,0.00010684227893090137
anise seed,0.00010684227893090137
caramel ice cream topping,0.00010634533809866462
orange bell pepper,0.00010584839726642786
graham cracker crust,0.00010584839726642786
pork loin,0.00010584839726642786
beef bouillon granule,0.00010584839726642786
minced ginger,0.00010584839726642786
wheat bran,0.00010535145643419112
split pea,0.00010535145643419112
taco,0.00010535145643419112
coarse grain mustard,0.00010535145643419112
toasted almond,0.00010535145643419112
red apple,0.00010535145643419112
chicken leg,0.00010485451560195437
jam,0.00010485451560195437
refrigerated biscuit,0.00010485451560195437
coconut rum,0.00010485451560195437
watercres,0.00010435757476971762
toothpick,0.00010435757476971762
jicama,0.00010435757476971762
savory,0.00010435757476971762
artichoke,0.00010386063393748086
strawberry jam,0.00010386063393748086
refrigerated pie crust,0.00010386063393748086
skinless chicken thigh,0.00010336369310524412
veal,0.00010336369310524412
chicken tender,0.00010336369310524412
chipotle powder,0.00010286675227300737
low sodium beef broth,0.00010236981144077061
beef bouillon,0.00010236981144077061
red curry paste,0.00010236981144077061
smoked bacon,0.00010236981144077061
habanero pepper,0.00010236981144077061
swiss chard,0.00010236981144077061
corn chip,0.00010187287060853386
red seedless grape,0.00010187287060853386
pork loin chop,0.00010187287060853386
rye bread,0.00010187287060853386
egg beaters egg substitute,0.00010137592977629712
andouille sausage,0.00010137592977629712
red chili pepper flake,0.00010137592977629712
broth,0.00010087898894406037
basil pesto,0.00010087898894406037
quick-cooking rolled oat,0.00010038204811182361
baby shrimp,0.00010038204811182361
canadian bacon,0.00010038204811182361
hot pepper flake,9.988510727958686e-05
rosemary sprig,9.938816644735012e-05
orange extract,9.938816644735012e-05
hot red pepper flake,9.938816644735012e-05
coarse black pepper,9.938816644735012e-05
popped popcorn,9.889122561511336e-05
navel orange,9.889122561511336e-05
accent seasoning,9.839428478287661e-05
ancho chile powder,9.789734395063986e-05
yellow food coloring,9.789734395063986e-05
marsala wine,9.789734395063986e-05
biscuit mix,9.740040311840312e-05
angel food cake,9.740040311840312e-05
white pearl onion,9.740040311840312e-05
fat-free half-and-half,9.690346228616636e-05
prepared pizza crust,9.690346228616636e-05
yoghurt,9.690346228616636e-05
pickle,9.690346228616636e-05
white rum,9.690346228616636e-05
a.1. original,9.690346228616636e-05
irish cream,9.690346228616636e-05
lawry's seasoned salt,9.690346228616636e-05
orange liqueur,9.690346228616636e-05
granola cereal,9.640652145392961e-05
pam cooking spray,9.590958062169286e-05
mushroom stem,9.590958062169286e-05
cointreau liqueur,9.590958062169286e-05
pork shoulder,9.491569895721935e-05
wine,9.441875812498261e-05
candy sprinkle,9.441875812498261e-05
espresso,9.441875812498261e-05
apple pie filling,9.441875812498261e-05
hoagie roll,9.392181729274586e-05
dark red kidney bean,9.392181729274586e-05
semisweet chocolate morsel,9.392181729274586e-05
coarse sea salt,9.392181729274586e-05
seasoned dry bread crumb,9.34248764605091e-05
beef roast,9.34248764605091e-05
sweetened cranberry,9.34248764605091e-05
fat-free chicken broth,9.34248764605091e-05
seasoned stuffing mix,9.292793562827235e-05
fast rising yeast,9.292793562827235e-05
tomato ketchup,9.243099479603561e-05
cinnamon sugar,9.193405396379886e-05
grainy mustard,9.193405396379886e-05
